"eventid","iyear","imonth","iday","approxdate","extended","resolution","country","country_txt","region","region_txt","provstate","city","latitude","longitude","specificity","vicinity","location","summary","crit1","crit2","crit3","doubtterr","alternative","alternative_txt","multiple","success","suicide","attacktype1","attacktype1_txt","attacktype2","attacktype2_txt","attacktype3","attacktype3_txt","targtype1","targtype1_txt","targsubtype1","targsubtype1_txt","corp1","target1","natlty1","natlty1_txt","targtype2","targtype2_txt","targsubtype2","targsubtype2_txt","corp2","target2","natlty2","natlty2_txt","targtype3","targtype3_txt","targsubtype3","targsubtype3_txt","corp3","target3","natlty3","natlty3_txt","gname","gsubname","gname2","gsubname2","gname3","gsubname3","motive","guncertain1","guncertain2","guncertain3","individual","nperps","nperpcap","claimed","claimmode","claimmode_txt","claim2","claimmode2","claimmode2_txt","claim3","claimmode3","claimmode3_txt","compclaim","weaptype1","weaptype1_txt","weapsubtype1","weapsubtype1_txt","weaptype2","weaptype2_txt","weapsubtype2","weapsubtype2_txt","weaptype3","weaptype3_txt","weapsubtype3","weapsubtype3_txt","weaptype4","weaptype4_txt","weapsubtype4","weapsubtype4_txt","weapdetail","nkill","nkillus","nkillter","nwound","nwoundus","nwoundte","property","propextent","propextent_txt","propvalue","propcomment","ishostkid","nhostkid","nhostkidus","nhours","ndays","divert","kidhijcountry","ransom","ransomamt","ransomamtus","ransompaid","ransompaidus","ransomnote","hostkidoutcome","hostkidoutcome_txt","nreleased","addnotes","scite1","scite2","scite3","dbsource","INT_LOG","INT_IDEO","INT_MISC","INT_ANY","related"
197109160001,1971,9,16,"",0,"",97,"Israel",10,"Middle East & North Africa","Jerusalem","Jerusalem",31.771599,35.2034,1,0,"","",1,1,1,0,NA,"",0,1,0,3,"Bombing/Explosion",NA,"",NA,"",18,"Tourists",97,"Tourist","","U.S. Tourists",217,"United States",NA,"",NA,"","","",NA,"",NA,"",NA,"","","",NA,"","Unknown","","","","","","",0,NA,NA,0,NA,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,6,"Explosives",16,"Unknown Explosive Type",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","Explosive",1,NA,NA,11,NA,NA,1,4,"Unknown",NA,"",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,"",NA,"","","","","PGIS",-9,-9,1,1,""
197205300001,1972,5,30,"",0,"",97,"Israel",10,"Middle East & North Africa","Central","Lod",32.004361,34.888229,1,0,"","",1,1,1,0,NA,"",0,1,0,3,"Bombing/Explosion",NA,"",NA,"",6,"Airports & Aircraft",44,"Airport","","Aircraft Terminal",97,"Israel",NA,"",NA,"","","",NA,"",NA,"",NA,"","","",NA,"","Japanese Red Army (JRA)","","","","","","",0,NA,NA,0,5,NA,NA,NA,"",NA,NA,"",NA,NA,"",NA,5,"Firearms",2,"Automatic or Semi-Automatic Rifle",6,"Explosives",7,"Grenade",NA,"",NA,"",NA,"",NA,"","Automatic firearms; Grenades",26,NA,NA,72,NA,NA,1,3,"Minor (likely < $1 million)",60000,"",0,NA,NA,NA,NA,"","",0,NA,NA,NA,NA,"",NA,"",NA,"","","","","PGIS",1,1,0,1,""
197209200003,1972,9,20,"",0,"",97,"Israel",10,"Middle East & North Africa","Jerusalem","Jerusalem",31.771599,35.2034,1,0,"The incident occurred on Jaffa street.","09/20/1972: A letter bomb addressed to Shimon Peres, the Communications Minister, was discovered and defused at the Jerusalem Central Post Office along Jaffa Street in Jerusalem, Israel. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",1,1,1,0,NA,"",1,0,0,1,"Assassination",NA,"",NA,"",2,"Government (General)",18,"Government Personnel (excluding police, military)","Ministry of Communications","Minister: Shimon Peres",97,"Israel",NA,"",NA,"","","",NA,"",NA,"",NA,"","","",NA,"","Black September","","","","","","",0,NA,NA,0,-99,-99,1,5,"Note left at scene",NA,NA,"",NA,NA,"",NA,6,"Explosives",9,"Letter Bomb",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","An explosives-laden letter was used.",0,0,0,0,0,0,0,NA,"",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,"",NA,"","http://news.bbc.co.uk/onthisday/hi/dates/stories/september/19/newsid_2523000/2523027.stm","""26 more bombs sent to Israelis here, abroad,"" The Jerusalem Post, September 21, 1972.","""5 more leter bombs in Brussels, Kinshasa,"" The Jerusalem Post, September 22, 1972.","UMD Miscellaneous",1,1,0,1,"197209190001, 197209190002, 197209190003, 197209190004, 197209190005, 197209190006, 197209190007, 197209190008, 197209190009, 197209190010, 197209190011, 197209190012, 197209190013, 197209190014, 197209190015, 197209200003, 197209200004, 197209200005, 197209200006, 197209200007, 197209200008, 197209200009, 197209200010, 197209200011, 197209200012, 197209200013, 197209200014, 197209200015, 197209200016, 197209200017, 197209200018, 197209200019, 197209200020, 197209200021, 197209200022, 197209200023, 197209200024, 197209200025, 197209200026, 197209200027, 197209200028, 197209210002, 197209210003, 197209210004, 197209210005, 197209210006, 197209210007, 197209210008, 197209210009, 197209210010, 197209210011, 197209210012, 197209220003, 197209220004, 197209230002, 197209230003, 197209230004, 197209230005, 197209230006, 197209250001, 197209250002, 197209250003, 197209250004, 197209250005, 197209280002, 197209280003, 197209280004, 197209280005, 197209280006, 197209280007, 197209280008, 197209280009, 197209280010, 197209280011"
197209200004,1972,9,20,"",0,"",97,"Israel",10,"Middle East & North Africa","Jerusalem","Jerusalem",31.771599,35.2034,1,0,"The incident occurred on Jaffa street.","09/20/1972: A letter bomb addressed to Dr. M. A. Kurtz, the Ministry of Welfare Director General, was discovered and defused at the Jerusalem Central Post Office along Jaffa Street in Jerusalem, Israel. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",1,1,1,0,NA,"",1,0,0,1,"Assassination",NA,"",NA,"",2,"Government (General)",18,"Government Personnel (excluding police, military)","Ministry of Welfare","Director General: Dr. M. A. Kurtz",97,"Israel",NA,"",NA,"","","",NA,"",NA,"",NA,"","","",NA,"","Black September","","","","","","",0,NA,NA,0,-99,-99,1,5,"Note left at scene",NA,NA,"",NA,NA,"",NA,6,"Explosives",9,"Letter Bomb",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","An explosives-laden letter was used.",0,0,0,0,0,0,0,NA,"",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,"",NA,"","http://news.bbc.co.uk/onthisday/hi/dates/stories/september/19/newsid_2523000/2523027.stm","""26 more bombs sent to Israelis here, abroad,"" The Jerusalem Post, September 21, 1972.","""5 more leter bombs in Brussels, Kinshasa,"" The Jerusalem Post, September 22, 1972.","UMD Miscellaneous",1,1,0,1,"197209190001, 197209190002, 197209190003, 197209190004, 197209190005, 197209190006, 197209190007, 197209190008, 197209190009, 197209190010, 197209190011, 197209190012, 197209190013, 197209190014, 197209190015, 197209200003, 197209200004, 197209200005, 197209200006, 197209200007, 197209200008, 197209200009, 197209200010, 197209200011, 197209200012, 197209200013, 197209200014, 197209200015, 197209200016, 197209200017, 197209200018, 197209200019, 197209200020, 197209200021, 197209200022, 197209200023, 197209200024, 197209200025, 197209200026, 197209200027, 197209200028, 197209210002, 197209210003, 197209210004, 197209210005, 197209210006, 197209210007, 197209210008, 197209210009, 197209210010, 197209210011, 197209210012, 197209220003, 197209220004, 197209230002, 197209230003, 197209230004, 197209230005, 197209230006, 197209250001, 197209250002, 197209250003, 197209250004, 197209250005, 197209280002, 197209280003, 197209280004, 197209280005, 197209280006, 197209280007, 197209280008, 197209280009, 197209280010, 197209280011"
197209200005,1972,9,20,"",0,"",97,"Israel",10,"Middle East & North Africa","Jerusalem","Jerusalem",31.771599,35.2034,1,0,"The incident occurred on Jaffa street.","09/20/1972: A letter bomb addressed to Michael Hazani, the Welfare Minister, was discovered and defused at the Jerusalem Central Post Office along Jaffa Street in Jerusalem, Israel. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",1,1,1,0,NA,"",1,0,0,1,"Assassination",NA,"",NA,"",2,"Government (General)",18,"Government Personnel (excluding police, military)","Ministry of Welfare","Minister: Michael Hazani",97,"Israel",NA,"",NA,"","","",NA,"",NA,"",NA,"","","",NA,"","Black September","","","","","","",0,NA,NA,0,-99,-99,1,5,"Note left at scene",NA,NA,"",NA,NA,"",NA,6,"Explosives",9,"Letter Bomb",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","An explosives-laden letter was used.",0,0,0,0,0,0,0,NA,"",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,"",NA,"","http://news.bbc.co.uk/onthisday/hi/dates/stories/september/19/newsid_2523000/2523027.stm","""26 more bombs sent to Israelis here, abroad,"" The Jerusalem Post, September 21, 1972.","""5 more leter bombs in Brussels, Kinshasa,"" The Jerusalem Post, September 22, 1972.","UMD Miscellaneous",1,1,0,1,"197209190001, 197209190002, 197209190003, 197209190004, 197209190005, 197209190006, 197209190007, 197209190008, 197209190009, 197209190010, 197209190011, 197209190012, 197209190013, 197209190014, 197209190015, 197209200003, 197209200004, 197209200005, 197209200006, 197209200007, 197209200008, 197209200009, 197209200010, 197209200011, 197209200012, 197209200013, 197209200014, 197209200015, 197209200016, 197209200017, 197209200018, 197209200019, 197209200020, 197209200021, 197209200022, 197209200023, 197209200024, 197209200025, 197209200026, 197209200027, 197209200028, 197209210002, 197209210003, 197209210004, 197209210005, 197209210006, 197209210007, 197209210008, 197209210009, 197209210010, 197209210011, 197209210012, 197209220003, 197209220004, 197209230002, 197209230003, 197209230004, 197209230005, 197209230006, 197209250001, 197209250002, 197209250003, 197209250004, 197209250005, 197209280002, 197209280003, 197209280004, 197209280005, 197209280006, 197209280007, 197209280008, 197209280009, 197209280010, 197209280011"
197209200006,1972,9,20,"",0,"",97,"Israel",10,"Middle East & North Africa","Jerusalem","Jerusalem",31.771599,35.2034,1,0,"The incident occurred on Jaffa street.","09/20/1972: A letter bomb addressed to Arie Pincus, a The Jewish Agency executive chairperson, was discovered and defused at the Jerusalem Central Post Office along Jaffa Street in Jerusalem, Israel. This was one of two letter bombs addressed to Pincus and one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",1,1,1,0,NA,"",1,0,0,1,"Assassination",NA,"",NA,"",12,"NGO",61,"Domestic NGO","The Jewish Agency","Executive Chairperson: Arie Pincus",97,"Israel",NA,"",NA,"","","",NA,"",NA,"",NA,"","","",NA,"","Black September","","","","","","",0,NA,NA,0,-99,-99,1,5,"Note left at scene",NA,NA,"",NA,NA,"",NA,6,"Explosives",9,"Letter Bomb",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","An explosives-laden letter was used.",0,0,0,0,0,0,0,NA,"",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,"",NA,"","http://news.bbc.co.uk/onthisday/hi/dates/stories/september/19/newsid_2523000/2523027.stm","""26 more bombs sent to Israelis here, abroad,"" The Jerusalem Post, September 21, 1972.","""5 more leter bombs in Brussels, Kinshasa,"" The Jerusalem Post, September 22, 1972.","UMD Miscellaneous",1,1,0,1,"197209190001, 197209190002, 197209190003, 197209190004, 197209190005, 197209190006, 197209190007, 197209190008, 197209190009, 197209190010, 197209190011, 197209190012, 197209190013, 197209190014, 197209190015, 197209200003, 197209200004, 197209200005, 197209200006, 197209200007, 197209200008, 197209200009, 197209200010, 197209200011, 197209200012, 197209200013, 197209200014, 197209200015, 197209200016, 197209200017, 197209200018, 197209200019, 197209200020, 197209200021, 197209200022, 197209200023, 197209200024, 197209200025, 197209200026, 197209200027, 197209200028, 197209210002, 197209210003, 197209210004, 197209210005, 197209210006, 197209210007, 197209210008, 197209210009, 197209210010, 197209210011, 197209210012, 197209220003, 197209220004, 197209230002, 197209230003, 197209230004, 197209230005, 197209230006, 197209250001, 197209250002, 197209250003, 197209250004, 197209250005, 197209280002, 197209280003, 197209280004, 197209280005, 197209280006, 197209280007, 197209280008, 197209280009, 197209280010, 197209280011"
197209200007,1972,9,20,"",0,"",97,"Israel",10,"Middle East & North Africa","Jerusalem","Jerusalem",31.771599,35.2034,1,0,"The incident occurred on Jaffa street.","09/20/1972: A letter bomb addressed to Arie Pincus, a The Jewish Agency executive chairperson, was discovered and defused at the Jerusalem Central Post Office along Jaffa Street in Jerusalem, Israel. This was one of two letter bombs addressed to Pincus and one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",1,1,1,0,NA,"",1,0,0,1,"Assassination",NA,"",NA,"",12,"NGO",61,"Domestic NGO","The Jewish Agency","Executive Chairperson: Arie Pincus",97,"Israel",NA,"",NA,"","","",NA,"",NA,"",NA,"","","",NA,"","Black September","","","","","","",0,NA,NA,0,-99,-99,1,5,"Note left at scene",NA,NA,"",NA,NA,"",NA,6,"Explosives",9,"Letter Bomb",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","An explosives-laden letter was used.",0,0,0,0,0,0,0,NA,"",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,"",NA,"","http://news.bbc.co.uk/onthisday/hi/dates/stories/september/19/newsid_2523000/2523027.stm","""26 more bombs sent to Israelis here, abroad,"" The Jerusalem Post, September 21, 1972.","""5 more leter bombs in Brussels, Kinshasa,"" The Jerusalem Post, September 22, 1972.","UMD Miscellaneous",1,1,0,1,"197209190001, 197209190002, 197209190003, 197209190004, 197209190005, 197209190006, 197209190007, 197209190008, 197209190009, 197209190010, 197209190011, 197209190012, 197209190013, 197209190014, 197209190015, 197209200003, 197209200004, 197209200005, 197209200006, 197209200007, 197209200008, 197209200009, 197209200010, 197209200011, 197209200012, 197209200013, 197209200014, 197209200015, 197209200016, 197209200017, 197209200018, 197209200019, 197209200020, 197209200021, 197209200022, 197209200023, 197209200024, 197209200025, 197209200026, 197209200027, 197209200028, 197209210002, 197209210003, 197209210004, 197209210005, 197209210006, 197209210007, 197209210008, 197209210009, 197209210010, 197209210011, 197209210012, 197209220003, 197209220004, 197209230002, 197209230003, 197209230004, 197209230005, 197209230006, 197209250001, 197209250002, 197209250003, 197209250004, 197209250005, 197209280002, 197209280003, 197209280004, 197209280005, 197209280006, 197209280007, 197209280008, 197209280009, 197209280010, 197209280011"
197209200008,1972,9,20,"",0,"",97,"Israel",10,"Middle East & North Africa","Jerusalem","Jerusalem",31.771599,35.2034,1,0,"The incident occurred on Jaffa street.","09/20/1972: A letter bomb addressed to Dr. Israel Goldstein was discovered and defused at the Jerusalem Central Post Office along Jaffa Street in Jerusalem, Israel. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",1,1,1,0,NA,"",1,0,0,1,"Assassination",NA,"",NA,"",14,"Private Citizens & Property",68,"Named Civilian","Not Applicable","Dr. Israel Goldstein",97,"Israel",NA,"",NA,"","","",NA,"",NA,"",NA,"","","",NA,"","Black September","","","","","","",0,NA,NA,0,-99,-99,1,5,"Note left at scene",NA,NA,"",NA,NA,"",NA,6,"Explosives",9,"Letter Bomb",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","An explosives-laden letter was used.",0,0,0,0,0,0,0,NA,"",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,"",NA,"","http://news.bbc.co.uk/onthisday/hi/dates/stories/september/19/newsid_2523000/2523027.stm","""26 more bombs sent to Israelis here, abroad,"" The Jerusalem Post, September 21, 1972.","""5 more leter bombs in Brussels, Kinshasa,"" The Jerusalem Post, September 22, 1972.","UMD Miscellaneous",1,1,0,1,"197209190001, 197209190002, 197209190003, 197209190004, 197209190005, 197209190006, 197209190007, 197209190008, 197209190009, 197209190010, 197209190011, 197209190012, 197209190013, 197209190014, 197209190015, 197209200003, 197209200004, 197209200005, 197209200006, 197209200007, 197209200008, 197209200009, 197209200010, 197209200011, 197209200012, 197209200013, 197209200014, 197209200015, 197209200016, 197209200017, 197209200018, 197209200019, 197209200020, 197209200021, 197209200022, 197209200023, 197209200024, 197209200025, 197209200026, 197209200027, 197209200028, 197209210002, 197209210003, 197209210004, 197209210005, 197209210006, 197209210007, 197209210008, 197209210009, 197209210010, 197209210011, 197209210012, 197209220003, 197209220004, 197209230002, 197209230003, 197209230004, 197209230005, 197209230006, 197209250001, 197209250002, 197209250003, 197209250004, 197209250005, 197209280002, 197209280003, 197209280004, 197209280005, 197209280006, 197209280007, 197209280008, 197209280009, 197209280010, 197209280011"
197209200009,1972,9,20,"",0,"",97,"Israel",10,"Middle East & North Africa","Jerusalem","Jerusalem",31.771599,35.2034,1,0,"The incident occurred on Jaffa street.","09/20/1972: A letter bomb addressed to Roberto Artzi, a Ministry of Finance employee, was discovered and defused at the Jerusalem Central Post Office along Jaffa Street in Jerusalem, Israel. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",1,1,1,0,NA,"",1,0,0,1,"Assassination",NA,"",NA,"",2,"Government (General)",18,"Government Personnel (excluding police, military)","Ministry of Finance","Employee: Roberto Artzi",97,"Israel",NA,"",NA,"","","",NA,"",NA,"",NA,"","","",NA,"","Black September","","","","","","",0,NA,NA,0,-99,-99,1,5,"Note left at scene",NA,NA,"",NA,NA,"",NA,6,"Explosives",9,"Letter Bomb",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","An explosives-laden letter was used.",0,0,0,0,0,0,0,NA,"",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,"",NA,"","http://news.bbc.co.uk/onthisday/hi/dates/stories/september/19/newsid_2523000/2523027.stm","""26 more bombs sent to Israelis here, abroad,"" The Jerusalem Post, September 21, 1972.","""5 more leter bombs in Brussels, Kinshasa,"" The Jerusalem Post, September 22, 1972.","UMD Miscellaneous",1,1,0,1,"197209190001, 197209190002, 197209190003, 197209190004, 197209190005, 197209190006, 197209190007, 197209190008, 197209190009, 197209190010, 197209190011, 197209190012, 197209190013, 197209190014, 197209190015, 197209200003, 197209200004, 197209200005, 197209200006, 197209200007, 197209200008, 197209200009, 197209200010, 197209200011, 197209200012, 197209200013, 197209200014, 197209200015, 197209200016, 197209200017, 197209200018, 197209200019, 197209200020, 197209200021, 197209200022, 197209200023, 197209200024, 197209200025, 197209200026, 197209200027, 197209200028, 197209210002, 197209210003, 197209210004, 197209210005, 197209210006, 197209210007, 197209210008, 197209210009, 197209210010, 197209210011, 197209210012, 197209220003, 197209220004, 197209230002, 197209230003, 197209230004, 197209230005, 197209230006, 197209250001, 197209250002, 197209250003, 197209250004, 197209250005, 197209280002, 197209280003, 197209280004, 197209280005, 197209280006, 197209280007, 197209280008, 197209280009, 197209280010, 197209280011"
197209200010,1972,9,20,"",0,"",97,"Israel",10,"Middle East & North Africa","Jerusalem","Jerusalem",31.771599,35.2034,1,0,"The incident occurred on Jaffa street.","09/20/1972: A letter bomb addressed to Yosef Bar, a Ministry of Transportation employee, was discovered and defused at the Jerusalem Central Post Office along Jaffa Street in Jerusalem, Israel. This was one of 74 letter bombs that were mailed from Amsterdam and were discovered or detonated between September 19, 1972 and September 28, 1972. Black September claimed responsibility for the incidents.",1,1,1,0,NA,"",1,0,0,1,"Assassination",NA,"",NA,"",2,"Government (General)",18,"Government Personnel (excluding police, military)","Ministry of Transportation","Employee: Yosef Bar",97,"Israel",NA,"",NA,"","","",NA,"",NA,"",NA,"","","",NA,"","Black September","","","","","","",0,NA,NA,0,-99,-99,1,5,"Note left at scene",NA,NA,"",NA,NA,"",NA,6,"Explosives",9,"Letter Bomb",NA,"",NA,"",NA,"",NA,"",NA,"",NA,"","An explosives-laden letter was used.",0,0,0,0,0,0,0,NA,"",NA,"",0,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,"",NA,"",NA,"","http://news.bbc.co.uk/onthisday/hi/dates/stories/september/19/newsid_2523000/2523027.stm","""26 more bombs sent to Israelis here, abroad,"" The Jerusalem Post, September 21, 1972.","""5 more leter bombs in Brussels, Kinshasa,"" The Jerusalem Post, September 22, 1972.","UMD Miscellaneous",1,1,0,1,"197209190001, 197209190002, 197209190003, 197209190004, 197209190005, 197209190006, 197209190007, 197209190008, 197209190009, 197209190010, 197209190011, 197209190012, 197209190013, 197209190014, 197209190015, 197209200003, 197209200004, 197209200005, 197209200006, 197209200007, 197209200008, 197209200009, 197209200010, 197209200011, 197209200012, 197209200013, 197209200014, 197209200015, 197209200016, 197209200017, 197209200018, 197209200019, 197209200020, 197209200021, 197209200022, 197209200023, 197209200024, 197209200025, 197209200026, 197209200027, 197209200028, 197209210002, 197209210003, 197209210004, 197209210005, 197209210006, 197209210007, 197209210008, 197209210009, 197209210010, 197209210011, 197209210012, 197209220003, 197209220004, 197209230002, 197209230003, 197209230004, 197209230005, 197209230006, 197209250001, 197209250002, 197209250003, 197209250004, 197209250005, 197209280002, 197209280003, 197209280004, 197209280005, 197209280006, 197209280007, 197209280008, 197209280009, 197209280010, 197209280011"
